FunctionName,Frequency (Total: 24507),Percentage
solve,1004,4.1
check,573,2.34
min,273,1.11
max,244,1.0
cmp,241,0.98
compare,209,0.85
gcd,157,0.64
__sputc,155,0.63
process,142,0.58
calc,141,0.58
flip,135,0.55
sort,132,0.54
init,127,0.52
comp,116,0.47
count,115,0.47
find,104,0.42
isPalindrome,99,0.4
palindrome,88,0.36
func,86,0.35
swap,84,0.34
test,81,0.33
read,79,0.32
print,76,0.31
f,76,0.31
work,75,0.31
abs,67,0.27
handleCase,62,0.25
search,62,0.25
is_palindrome,58,0.24
input,58,0.24
ccw,55,0.22
output,54,0.22
cal,52,0.21
nt,50,0.2
dfs,50,0.2
go,49,0.2
Rint,48,0.2
power,48,0.2
line_intersect,48,0.2
sscanf_ilist,48,0.2
convert,48,0.2
tidy,47,0.19
palin,45,0.18
run,44,0.18
calculate,41,0.17
insert,41,0.17
result,39,0.16
match,38,0.16
fun,37,0.15
compute,36,0.15
reset,35,0.14
add,35,0.14
fill,35,0.14
clear,35,0.14
multiply,34,0.14
isTidy,34,0.14
_OSSwapInt32,33,0.13
_OSSwapInt16,33,0.13
pal,33,0.13
OSWriteSwapInt64,33,0.13
OSWriteSwapInt32,33,0.13
OSWriteSwapInt16,33,0.13
OSReadSwapInt64,33,0.13
OSReadSwapInt32,33,0.13
OSReadSwapInt16,33,0.13
judge,33,0.13
_OSSwapInt64,33,0.13
reverse,32,0.13
do_test,32,0.13
next,32,0.13
lcm,31,0.13
rec,31,0.13
testcase,30,0.12
read_input,30,0.12
quicksort,29,0.12
f1,29,0.12
doit,29,0.12
mult,29,0.12
parse,28,0.11
is_tidy,27,0.11
square,26,0.11
intcmp,25,0.1
partition,25,0.1
solveCase,25,0.1
printBoard,24,0.1
valid,24,0.1
mul,24,0.1
readCase,23,0.09
read_int,23,0.09
win,23,0.09
verify,23,0.09
},22,0.09
get_result,22,0.09
update,22,0.09
initialize,22,0.09
ispal,22,0.09
merge,22,0.09
DFS,22,0.09
usage,22,0.09
print_board,22,0.09
resolve,22,0.09
check_col,21,0.09
sol,21,0.09
solve_case,21,0.09
cmpfunc,21,0.09
rev,21,0.09
t,21,0.09
eval,21,0.09
push,20,0.08
load,20,0.08
checkRow,20,0.08
readBoard,20,0.08
processCase,20,0.08
combine,20,0.08
snap,20,0.08
readInput,19,0.08
get_int,19,0.08
change,19,0.08
check_palindrome,19,0.08
check_row,19,0.08
get,19,0.08
Solve,19,0.08
istidy,19,0.08
