Function Name,Frequency,Percentage
main,39926,47.22623074921341
solve,1793,2.12083934612382
check,1004,1.1875754063069244
compare,478,0.5653994464289939
cmp,449,0.5310969695535948
min,430,0.5086229329800572
while,397,0.46958907998391336
max,356,0.42109247474628
gcd,341,0.4033498142934872
flip,330,0.3903385299614393
sort,297,0.3513046769652953
init,227,0.2685055948522628
calc,225,0.2661399067918904
comp,217,0.25667715455040097
process,213,0.25194577842965626
count,200,0.23656880603723593
swap,174,0.20581486125239526
find,170,0.20108348513165056
print,164,0.19398642095053348
test,148,0.1750609164675546
f,141,0.16678100825625133
abs,138,0.1632324761656928
search,137,0.1620496321355066
power,130,0.15376972392420335
dfs,130,0.15376972392420335
func,127,0.15022119183364482
work,115,0.13602706347141066
compute,109,0.12892999929029358
input,105,0.12419862316954886
isPalindrome,103,0.1218329351091765
output,101,0.11946724704880414
convert,97,0.11473587092805944
read,96,0.11355302689787325
go,95,0.11237018286768706
palindrome,93,0.1100044948073147
cal,89,0.10527311868657
war,88,0.1040902746563838
quicksort,81,0.09581036644508055
handleCase,80,0.09462752241489437
calculate,80,0.09462752241489437
add,75,0.08871330226396347
do_test,73,0.0863476142035911
partition,72,0.08516477017340493
insert,71,0.08398192614321875
Rint,69,0.0816162380828464
cmpfunc,68,0.08043339405266021
fun,68,0.08043339405266021
merge,68,0.08043339405266021
reverse,67,0.07925055002247404
sqr,66,0.07806770599228785
result,62,0.07333632987154313
switch,62,0.07333632987154313
run,61,0.07215348584135696
cross,61,0.07215348584135696
fill,60,0.07097064181117077
match,59,0.0697877977809846
is_palindrome,59,0.0697877977809846
rec,58,0.06860495375079842
remin,57,0.06742210972061224
remax,57,0.06742210972061224
clear,57,0.06742210972061224
next,57,0.06742210972061224
testcase,56,0.06623926569042607
reset,55,0.06505642166023988
tidy,55,0.06505642166023988
ccw,53,0.06269073359986752
sum,53,0.06269073359986752
read_input,52,0.06150788956968134
rotate,51,0.060325045539495165
split,49,0.05795935747912281
FGETS,48,0.056776513448936625
line_intersect,48,0.056776513448936625
REMAX,48,0.056776513448936625
sscanf_ilist,48,0.056776513448936625
REMIN,48,0.056776513448936625
palin,46,0.05441082538856426
shift,46,0.05441082538856426
parse,45,0.053227981358378085
chk,45,0.053227981358378085
solution,43,0.05086229329800573
Solve,42,0.04967944926781955
cmax,42,0.04967944926781955
DFS,42,0.04967944926781955
judge,42,0.04967944926781955
isPrime,41,0.04849660523763337
update,41,0.04849660523763337
cmin,40,0.04731376120744719
resolve,39,0.046130917177261005
solveCase,39,0.046130917177261005
multiply,39,0.046130917177261005
readCase,39,0.046130917177261005
do_one_case,38,0.04494807314707483
quickSort,37,0.04376522911688865
combine,37,0.04376522911688865
readInput,37,0.04376522911688865
doit,36,0.042582385086702465
push,36,0.042582385086702465
change,36,0.042582385086702465
printCase,35,0.04139954105651629
scan,35,0.04139954105651629
do_case,35,0.04139954105651629
valid,35,0.04139954105651629
digits,35,0.04139954105651629
isTidy,35,0.04139954105651629
pal,35,0.04139954105651629
lcm,34,0.04021669702633011
rev,34,0.04021669702633011
translate,33,0.039033852996143925
pop,33,0.039033852996143925
