FunctionName,Frequency (Total: 10200),Percentage
check,557,5.46
cmp,232,2.27
min,231,2.26
max,200,1.96
compare,185,1.81
__sputc,141,1.38
gcd,141,1.38
sort,129,1.26
flip,127,1.25
process,119,1.17
calc,117,1.15
init,116,1.14
count,110,1.08
comp,104,1.02
isPalindrome,96,0.94
find,90,0.88
palindrome,88,0.86
swap,78,0.76
test,73,0.72
f,72,0.71
func,72,0.71
read,70,0.69
work,65,0.64
print,63,0.62
abs,63,0.62
handleCase,58,0.57
is_palindrome,58,0.57
search,53,0.52
tidy,47,0.46
input,47,0.46
run,46,0.45
go,45,0.44
dfs,45,0.44
palin,45,0.44
nt,45,0.44
power,44,0.43
cal,42,0.41
match,37,0.36
result,37,0.36
output,37,0.36
convert,36,0.35
ccw,36,0.35
reset,35,0.34
clear,34,0.33
isTidy,34,0.33
Rint,34,0.33
pal,33,0.32
fill,33,0.32
judge,33,0.32
_OSSwapInt32,32,0.31
_OSSwapInt16,32,0.31
add,32,0.31
_OSSwapInt64,32,0.31
OSReadSwapInt16,32,0.31
OSReadSwapInt32,32,0.31
OSReadSwapInt64,32,0.31
insert,32,0.31
calculate,32,0.31
OSWriteSwapInt16,32,0.31
OSWriteSwapInt32,32,0.31
OSWriteSwapInt64,32,0.31
read_input,30,0.29
line_intersect,30,0.29
sscanf_ilist,30,0.29
next,30,0.29
doit,29,0.28
compute,29,0.28
rec,29,0.28
f1,28,0.27
is_tidy,27,0.26
square,26,0.25
fun,26,0.25
quicksort,25,0.25
intcmp,25,0.25
printBoard,24,0.24
partition,23,0.23
verify,23,0.23
testcase,23,0.23
update,23,0.23
reverse,22,0.22
print_board,22,0.22
ispal,22,0.22
},22,0.22
usage,22,0.22
win,22,0.22
do_test,21,0.21
DFS,21,0.21
sol,21,0.21
check_col,21,0.21
parse,20,0.2
checkRow,20,0.2
readBoard,20,0.2
snap,20,0.2
load,20,0.2
check_palindrome,19,0.19
check_row,19,0.19
checkCol,19,0.19
Solve,19,0.19
istidy,19,0.19
valid,19,0.19
checkcol,18,0.18
initialize,18,0.18
check_win,18,0.18
change,18,0.18
saveFile,18,0.18
push,18,0.18
checkrow,18,0.18
get_time,18,0.18
isSquare,18,0.18
doTestCase,18,0.18
get_result,18,0.18
err,17,0.17
read_file,17,0.17
sum,17,0.17
get,17,0.17
combine,17,0.17
out,17,0.17
isPal,16,0.16
ok,16,0.16
possible,16,0.16
test_case,16,0.16
intersect,16,0.16
ispalindrome,16,0.16
isPower,16,0.16
readInput,16,0.16
pop,16,0.16
flow,16,0.16
diagonal,16,0.16
read_uint,15,0.15
draw,15,0.15
display,15,0.15
processCase,15,0.15
read_int,15,0.15
dist,15,0.15
getInt,15,0.15
solution,15,0.15
mark,15,0.15
answer,15,0.15
won,14,0.14
verifica,14,0.14
recurse,14,0.14
cmp2,14,0.14
read_line,14,0.14
check_diag,14,0.14
lcm,14,0.14
lastpow,14,0.14
winner,14,0.14
__inline_isinfl,13,0.13
__inline_signbitd,13,0.13
__sincospif,13,0.13
__inline_signbitf,13,0.13
__inline_signbitl,13,0.13
__inline_isnanf,13,0.13
rev,13,0.13
__inline_isnand,13,0.13
__inline_isnanl,13,0.13
__inline_isnormalf,13,0.13
single_case,13,0.13
__inline_isfinited,13,0.13
__inline_isinfd,13,0.13
__inline_isnormald,13,0.13
__inline_isnormall,13,0.13
F,13,0.13
copy,13,0.13
__inline_isinff,13,0.13
__inline_isfinitel,13,0.13
imprime,13,0.13
cut,13,0.13
__sincosf,13,0.13
__sincos,13,0.13
try,13,0.13
__inline_isfinitef,13,0.13
__sincospi,13,0.13
ispalin,13,0.13
merge,13,0.13
set,13,0.13
is_pal,13,0.13
